high_temp,low_temp,date_offset,holiday_type,week_day,weather_type
25,21,274,2,6,2
25,20,275,2,7,2
27,18,276,2,1,1
26,20,277,2,2,2
26,20,278,2,3,1
25,19,279,2,4,1
20,16,280,2,5,2
23,15,281,0,6,2
21,13,282,0,7,2
22,15,283,0,1,2
21,16,284,0,2,2
21,16,285,0,3,2
20,16,286,0,4,2
19,17,287,0,5,2
20,16,288,1,6,2
23,17,289,1,7,2
23,18,290,0,1,2
24,18,291,0,2,2
23,18,292,0,3,2
21,18,293,0,4,2
22,19,294,0,5,2
22,18,295,1,6,2
20,18,296,1,7,2
21,15,297,0,1,2
19,16,298,0,2,1
20,16,299,0,3,2
18,15,300,0,4,2
16,11,301,0,5,2
13,8,302,1,6,2
18,12,303,1,7,1
15,10,304,0,1,2